,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha
199,1119.66,24.0,2.5,7462.317073170731,92.0,0.0,15.18,0.0,71.76,0.0,103.2
200,1057.6,21.0,2.5,7727.701149425287,92.0,0.0,15.18,0.0,71.76,0.0,82.2
201,1134.51,23.0,2.5,8327.8,92.0,0.0,16.17,0.0,76.44,0.0,100.2
202,409.14,10.0,2.5,7509.6,62.1,0.0,31.5,0.0,0.0,0.0,120.0
203,261.38,15.0,2.5,7468.571428571428,62.1,0.0,0.0,0.0,0.0,0.0,132.0
204,359.71,10.0,2.5,5949.333333333333,62.1,0.0,31.5,0.0,0.0,0.0,120.0
205,-553.55,10.0,2.5,8927.565217391304,0.0,0.0,31.5,0.0,0.0,0.0,120.0
206,1131.96,22.0,2.5,7112.815533980583,184.0,0.0,22.0,0.0,104.0,0.0,102.0
207,1091.1,18.0,2.5,8368.155339805826,184.0,0.0,22.0,0.0,104.0,0.0,105.0
208,1040.93,19.0,2.5,3772.127659574468,184.0,0.0,28.6,0.0,135.2,0.0,132.0
209,-400.21,14.0,2.5,8632.333333333334,0.0,109.8,0.0,101.2,0.0,0.0,0.0
210,-80.93,14.0,2.5,7972.0,0.0,112.0,0.0,110.0,0.0,0.0,0.0
211,-61.75,15.0,2.5,8078.8,0.0,109.8,0.0,101.2,0.0,0.0,0.0
212,-393.52,13.0,2.5,9496.0,0.0,109.8,0.0,101.2,0.0,0.0,0.0
213,1256.85,22.0,2.5,4527.25,161.0,124.8,0.0,0.0,0.0,24.0,90.0
214,785.26,23.0,2.5,4091.84,165.6,20.0,0.0,108.0,0.0,32.0,90.0
215,1050.97,19.0,2.5,6277.76,92.0,40.0,0.0,108.0,0.0,32.0,90.0
216,1153.82,24.0,2.5,6291.6,92.0,40.0,0.0,108.0,0.0,32.0,90.0
217,1549.26,24.0,2.5,6391.44,230.0,20.0,0.0,108.0,0.0,32.0,90.0
218,1085.45,22.0,2.5,8513.84,92.0,20.0,0.0,108.0,0.0,32.0,90.0
219,459.49,19.0,2.5,7780.261437908497,115.0,0.0,26.4,0.0,124.8,132.0,0.0
220,1116.66,21.0,2.5,8623.225806451614,92.0,0.0,17.6,0.0,83.2,0.0,100.2
221,1040.41,15.0,2.5,10497.584745762711,92.0,0.0,16.28,0.0,76.96,0.0,100.2
222,1028.14,18.0,2.5,7712.051282051282,0.0,81.0,81.275,0.0,1.3,0.0,115.8
223,855.43,15.0,2.5,6163.571428571428,115.0,49.4,27.275,112.0,1.3,0.0,115.8
224,876.99,16.0,2.5,6139.166666666667,115.0,50.2,27.0,127.6,0.0,0.0,115.8
225,1063.18,20.0,2.5,7598.818181818182,0.0,81.0,81.0,0.0,0.0,0.0,115.8
226,338.27,8.0,2.5,6052.8,0.0,50.2,27.0,127.6,0.0,0.0,0.0
227,1088.88,16.0,2.5,6679.238095238095,69.0,76.4,54.0,112.0,0.0,0.0,115.8
228,1131.04,22.0,2.5,7915.142857142857,69.0,54.0,54.0,0.0,0.0,0.0,115.8
229,824.26,24.0,2.5,7722.0,161.0,10.5,0.0,73.5,0.0,0.0,96.0
230,727.1,21.0,2.5,6595.576923076923,161.0,10.5,0.0,73.5,0.0,0.0,96.0
231,-490.81,14.0,2.5,5946.145833333333,0.0,104.86,0.0,86.64,0.0,77.07,0.0
232,186.07,17.0,2.5,3980.8547008547007,92.0,40.0,0.0,0.0,0.0,40.0,0.0
233,243.67,22.0,2.5,4981.4,92.0,54.0,0.0,0.0,0.0,54.0,79.8
234,146.48,15.0,2.5,4029.2473118279568,92.0,40.0,0.0,0.0,0.0,40.0,0.0
235,150.72,15.0,2.5,4163.870967741936,92.0,40.0,0.0,0.0,0.0,40.0,0.0
236,1092.64,24.0,2.5,3058.333333333333,92.0,0.0,26.84,0.0,126.88,0.0,105.0
237,1070.82,21.0,2.5,2771.078431372549,92.0,0.0,31.24,0.0,147.68,0.0,120.0
238,1114.04,22.0,2.5,3144.879518072289,92.0,0.0,32.34,0.0,152.88000000000002,0.0,120.0
239,960.06,26.0,2.5,2507.4,92.0,14.5,0.44,107.3,2.08,0.0,120.0
240,1072.26,22.0,2.5,2162.8571428571427,92.0,0.0,31.24,0.0,147.68,0.0,120.0
241,612.67,8.0,2.5,5387.460317460317,62.1,0.0,0.0,0.0,0.0,0.0,120.0
242,905.4,15.0,2.5,7557.058823529412,92.0,16.2,0.0,119.88,0.0,0.0,132.0
243,1001.87,20.0,2.5,6034.857142857143,92.0,0.0,16.72,0.0,79.04,0.0,80.4
244,1038.38,20.0,2.5,7116.666666666667,92.0,0.0,16.72,0.0,79.04,0.0,96.0
245,1057.15,20.0,2.5,2645.266666666667,92.0,0.0,32.34,0.0,152.88000000000002,0.0,120.0
246,1036.88,19.0,2.5,2991.969696969697,92.0,0.0,31.24,0.0,147.68,0.0,120.0
247,1011.75,23.0,2.5,2490.851063829787,92.0,0.0,22.44,0.0,106.08,0.0,105.0
248,-751.2,15.0,2.5,5822.153846153846,0.0,0.0,0.0,0.0,0.0,0.0,120.0
249,-33.22,12.0,2.5,11270.5,0.0,140.0,21.0,120.0,0.0,32.0,90.0
250,-631.74,15.0,2.5,5327.111111111111,0.0,0.0,25.3,0.0,119.6,0.0,0.0
251,472.93,9.0,2.5,10953.25,124.2,61.0,0.0,120.0,0.0,70.0,0.0
252,1204.59,12.0,2.5,5955.416666666667,204.24,0.0,30.8,0.0,145.6,0.0,130.2
253,371.18,15.0,2.5,9202.135922330095,115.0,0.0,17.6,0.0,83.2,0.0,96.0
254,1207.57,21.0,2.5,8292.0,92.0,0.0,28.6,0.0,135.2,0.0,90.0
255,1334.76,16.0,2.5,7427.25,216.2,0.0,19.8,0.0,93.6,0.0,102.0
256,1163.01,16.0,2.5,7566.5,195.5,5.0,19.8,50.0,93.6,50.0,102.0
257,1281.43,15.0,2.5,6394.0,216.2,0.0,19.8,0.0,93.6,0.0,102.0
258,780.85,13.0,2.5,7467.254901960784,62.1,0.0,0.0,0.0,0.0,0.0,120.0
259,456.07,9.0,2.5,9647.333333333334,124.2,61.0,0.0,120.0,0.0,70.0,60.0
260,865.97,26.0,2.5,7742.875,161.0,10.5,0.0,73.5,0.0,0.0,96.0
261,870.72,26.0,2.5,6551.066666666667,161.0,11.0,0.0,77.0,0.0,0.0,96.0
