,Field_Name,Latitude,Longitude,Latitude_decimal,Longitude_decimal
143,M4V2044,S 23° 48' 39.00'',W 49° 06' 04.00'',-23.810833333333335,-49.10111111111111
144,M7V2047,S 16° 49' 02.00'',W 47° 13' 12.00'',-16.81722222222222,-47.22
145,M6V2045,"S 20° 23' 27.00""","W 47° 41' 33.00""",-20.390833333333333,-47.692499999999995
146,M2I2021,"S 15° 23' 18.59""","W 54° 28' 47.69""",-15.388497222222222,-54.47991388888889
147,M2I2022,"S 15° 22' 58.30""","W 54° 28' 07.00""",-15.382861111111112,-54.468611111111116
148,M2I2023,"S 15° 22' 12.60""","W 54° 27' 59.30""",-15.370166666666668,-54.46647222222222
149,M2I2032,"S 15° 22' 55.90""","W 54° 27' 25.40""",-15.382194444444444,-54.457055555555556
150,M2I2033,"S 15° 23' 29.20""","W 54° 27' 41.70""",-15.391444444444444,-54.46158333333334
151,M2V2014,"S 15° 22' 13.50""","W 54° 27' 09.00""",-15.370416666666667,-54.4525
152,M6V2068,"S 17° 28' 34.20""","W 47° 51' 09.20""",-17.476166666666664,-47.852555555555554
153,M4V2011,S 23° 28' 39.00'',W 48° 42' 52.00'',-23.4775,-48.714444444444446
154,M7V2059,S 16° 36' 33.00'',W 47° 04' 12.00'',-16.609166666666667,-47.07
155,M7V2060,S 16° 36' 50.00'',W 47° 04' 32.00'',-16.61388888888889,-47.07555555555556
156,M7V2061,S 16° 36' 24.00'',W 47° 04' 53.00'',-16.60666666666667,-47.081388888888895
157,M7V2037,S 16° 39' 17.00'',W 47° 33' 55.00'',-16.654722222222222,-47.56527777777777
158,M7V2038,S 16° 39' 17.00'',W 47° 34' 29.00'',-16.654722222222222,-47.57472222222223
159,M4V2007,S 23° 03' 48.00'',W 48° 44' 20.00'',-23.063333333333333,-48.73888888888889
160,M4V2008,S 23° 35' 39.00'',W 48° 45' 42.00'',-23.594166666666666,-48.76166666666666
161,M4V2009,S 23° 35' 00.00'',W 48° 44' 43.00'',-23.583333333333332,-48.74527777777778
162,M4V2010,S 23° 35' 30.00'',W 48° 45' 15.00'',-23.591666666666665,-48.75416666666667
163,M6V2078,"S 17° 36' 27.10""","W 47° 30' 30.40""",-17.60752777777778,-47.50844444444444
164,M4V2045,S 23° 48' 04.00'',W 48° 54' 57.00'',-23.801111111111112,-48.91583333333333
165,M4V2046,S 23° 47' 47.00'',W 48° 54' 48.00'',-23.79638888888889,-48.913333333333334
166,M4V2047,S 23° 47' 25.00'',W 48° 55' 20.00'',-23.790277777777778,-48.92222222222222
167,M4V2048,S 23° 47' 04.00'',W 48° 56' 08.00'',-23.784444444444446,-48.93555555555555
168,M4V2049,S 23° 47' 14.00'',W 48° 55' 49.00'',-23.787222222222223,-48.930277777777775
169,M4V2050,S 23° 47' 31.00'',W 48° 56' 09.00'',-23.791944444444447,-48.93583333333333
170,M4V2051,S 23° 47' 17.00'',W 48° 56' 37.00'',-23.78805555555556,-48.94361111111111
171,M4V2052,S 23° 46' 51.00'',S 48° 57' 00.00'',-23.780833333333334,-48.95
172,M2V2016,"S 15° 22' 24.46""","W 54° 48' 33.31""",-15.373461111111112,-54.80925277777777
173,M2I2034,S 15° 18' 14.00'',W 54° 08' 29.00'',-15.30388888888889,-54.14138888888889
174,M2I2035,S 15° 18' 34.00'',W 54° 09' 46.00'',-15.309444444444445,-54.16277777777778
175,M6V2011,"S 17° 52' 20.80""","W 52° 03' 32.80""",-17.872444444444444,-52.05911111111111
176,M6V2012,"S 17° 51' 43.50""","W 52° 04' 01.80""",-17.862083333333334,-52.06716666666667
177,M6V2013,"S 17° 51' 52.60""","W 52° 02' 54.00""",-17.864611111111113,-52.04833333333333
178,M6V2066,"S 17° 52' 25.10""","W 52° 02' 58.80""",-17.87363888888889,-52.04966666666667
179,M2I2008,"S 13° 25' 52.40""","W 56° 08' 45.1""",-13.431222222222221,-56.14586111111111
180,M2I2009,"S 13° 25' 20.10""","W 56° 08' 24.40""",-13.42225,-56.14011111111111
181,M2I2010,"S 13° 24' 37.30""","W 56° 08' 34.90""",-13.410361111111111,-56.143027777777775
182,M2I2011,"S 13° 25' 06.80""","W 56° 09' 02.70""",-13.418555555555555,-56.150749999999995
183,M2I2012,"S 13° 24' 50.50""","W 56° 07' 56.50""",-13.414027777777779,-56.13236111111111
184,M2V2001,"S 13° 20' 03.89""","W 56° 06' 29.07""",-13.33441388888889,-56.108075
185,M2V2002,"S 13° 23' 20.79""","W 56° 07' 26.12""",-13.389108333333333,-56.12392222222222
186,M2V2003,"S 13° 20' 01.53""","W 56° 04' 41.45""",-13.333758333333334,-56.07818055555556
187,M2V2004,"S 13° 20' 01.53""","W 56° 04' 41.45""",-13.333758333333334,-56.07818055555556
188,M2V2005,"S 13° 34' 59.41""","W 57° 51' 30.44""",-13.583169444444444,-57.85845555555556
189,M2V2006,"S 13° 19' 58.36""","W 56° 06' 00.62""",-13.332877777777778,-56.10017222222223
190,M6I20174,"S 18° 02' 40.80""","W 47° 26' 24.80""",-18.044666666666668,-47.44022222222222
191,M6I2023,"S 18° 01' 42.10""","W 47° 25' 23.60""",-18.02836111111111,-47.42322222222222
192,M6I2024,"S 18° 01' 31.80""","W 47° 24' 36.20""",-18.025499999999997,-47.41005555555555
193,M6I2025,"S 18° 01' 14.20""","W 47° 24' 59.50""",-18.02061111111111,-47.41652777777777
194,M6I2026,"S 18° 02' 19.40""","W 47° 26' 58.10""",-18.038722222222223,-47.44947222222222
195,M6I2027,"S 18° 02' 08.10""","W 47° 26' 09.30""",-18.035583333333335,-47.435916666666664
196,M6I2028,"S 18° 02' 37.80""","W 47° 25' 42.00""",-18.043833333333335,-47.42833333333333
197,M6I2029,"S 18° 01' 49.60""","W 47° 27' 24.40""",-18.030444444444445,-47.45677777777778
198,M6I2030,"S 18° 01' 49.20""","W 47° 26' 43.90""",-18.03033333333333,-47.44552777777778
199,M6V2025,"S 18° 01' 42.10""","W 47° 25' 23.60""",-18.02836111111111,-47.42322222222222
200,M6V2026,"S 18° 01' 00.90""","W 47° 25' 29.60""",-18.016916666666667,-47.42488888888889
201,M6I20148,"S 18° 38' 32.60""","W 48° 39' 43.10""",-18.64238888888889,-48.66197222222222
202,M4V2062,S 24° 04' 46.00'',W 49° 02' 27.00'',-24.079444444444444,-49.04083333333333
203,M4V2063,S 24° 04' 11.00'',W 49° 02' 46.00'',-24.06972222222222,-49.04611111111111
204,M4V2064,S 24° 05' 43.00'',W 49° 02' 06.00'',-24.095277777777778,-49.035
205,M6V2028,"S 19° 40' 09.60""","W 47° 32' 41.40""",-19.669333333333334,-47.54483333333333
206,M6V2029,"S 19° 40' 09.60""","W 47° 32' 41.40""",-19.669333333333334,-47.54483333333333
207,M6V2030,"S 19° 40' 00.50""","W 47° 33' 25.60""",-19.666805555555555,-47.557111111111105
208,M6V2031,"S 19° 40' 00.50""","W 47° 33' 25.60""",-19.666805555555555,-47.557111111111105
209,M6V2046,"S 19° 20' 47.40""","W 47° 29' 51.00""",-19.3465,-47.4975
210,M6V2047,"S 19° 21' 05.60""","W 47° 29' 37.60""",-19.351555555555557,-47.49377777777778
211,M6V2069,"S 19° 19' 28.00""","W 47° 30' 39.70""",-19.324444444444445,-47.51102777777778
212,M6V2091,"S 19° 19' 33.10""","W 47° 30' 08.00""",-19.32586111111111,-47.50222222222222
213,M6I20140,"S 17° 38' 10.60""","W 47° 25' 48.40""",-17.636277777777778,-47.43011111111111
214,M6V2079,"S 17° 37' 58.20""","W 47° 26' 24.20""",-17.632833333333334,-47.44005555555555
215,M2I2017,"S 15° 12' 35.30""","W 54° 05' 50.18""",-15.209805555555555,-54.09727222222222
216,M2I2020,"S 15° 17' 32.00""","W 54° 03' 37.80""",-15.292222222222222,-54.0605
217,M2I2046,"S 15° 16' 46.20""","W 54° 03' 42.40""",-15.2795,-54.06177777777778
218,M2V2011,"S 15° 13' 18.80""","W 54° 06' 32.70""",-15.22188888888889,-54.10908333333334
219,M2V2012,"S 15° 12' 57.20""","W 54° 06' 07.90""",-15.215888888888887,-54.10219444444444
220,M7I2045,"S 16° 27' 06.10""","W 47° 05' 20.40""",-16.451694444444446,-47.089000000000006
221,M7I2098,"S 16° 27' 30.60""","W 47° 05' 45.20""",-16.4585,-47.095888888888894
222,M7I2005,S 17° 35' 05.00'',W 46° 47' 10.00'',-17.584722222222222,-46.78611111111111
223,M7I2006,S 17° 34' 29.00'',W 46° 47' 16.00'',-17.57472222222222,-46.78777777777778
224,M7I2007,S 17° 33' 34.00'',W 46° 47' 20.00'',-17.559444444444445,-46.788888888888884
225,M7I2008,S 17° 33' 52.00'',W 46° 46' 36.00'',-17.564444444444444,-46.776666666666664
226,M7I2009,S 17° 33' 34.00'',W 46° 46' 12.00'',-17.559444444444445,-46.769999999999996
227,M2I2024,"S 15° 17' 56.40""","W 54° 29' 09.50""",-15.299,-54.48597222222222
228,M2I2047,"S 15° 18' 12.20""","W 54° 26' 48.60""",-15.30338888888889,-54.44683333333333
229,M2V2013,"S 15° 18' 46.50""","W 54° 29' 24.00""",-15.312916666666668,-54.49
230,M6V2037,"S 19° 08' 04.00""","W 47° 13' 51.10""",-19.134444444444444,-47.23086111111111
231,M6V2038,"S 19° 07' 49.20""","W 47° 14' 41.50""",-19.130333333333333,-47.24486111111111
232,M6V2041,"S 19° 08' 25.20""","W 47° 14' 43.7""",-19.140333333333334,-47.245472222222226
233,M2V2030,"S 15° 27' 47.89""","W 54° 31' 34.14""",-15.463302777777777,-54.52615
234,M2V2026,"S 15° 20' 59.00""","W 54° 14' 04.00""",-15.349722222222223,-54.23444444444444
235,M6V2053,"S 19° 28' 01.10""","W 47° 51' 22.00""",-19.46697222222222,-47.85611111111111
