,yield per ha,CO2/ha,N_as_Urea_%,N_as_Nitrate_%,N_as_Ammonium_%,P_as_Phosphorus_%,P_as_P2O5_%,K_as_Potassium_%,K_as_K2O_%
3601,2910.8571428571427,561.83,0.0,0.0,0.0,0,0,0,60
3611,2910.8571428571427,561.83,46.0,0.0,0.0,0,0,0,0
3621,2910.8571428571427,561.83,46.0,0.0,0.0,0,0,0,0
3631,4305.6,181.96,0.0,0.0,11.0,0,52,0,0
3641,4305.6,181.96,0.0,0.0,0.0,0,0,0,60
3651,4305.6,181.96,46.0,0.0,0.0,0,0,0,0
3661,4305.6,181.96,46.0,0.0,0.0,0,0,0,0
3671,2070.0,-1724.9,0.0,5.0,0.0,10,0,10,0
3681,2070.0,-1724.9,0.0,20.0,0.0,0,0,20,0
3691,2070.0,-1724.9,0.0,0.0,11.0,0,52,0,0
3701,1793.0434782608695,-1769.89,0.0,5.0,0.0,10,0,10,0
3711,1793.0434782608695,-1769.89,0.0,20.0,0.0,0,0,20,0
3721,1793.0434782608695,-1769.89,0.0,0.0,11.0,0,52,0,0
3731,2368.6363636363635,1628.68,0.0,10.0,0.0,25,0,10,0
3741,2368.6363636363635,1628.68,0.0,25.0,0.0,0,0,25,0
3751,2368.6363636363635,1628.68,0.0,46.0,0.0,0,0,0,0
3761,1887.2,394.27,0.0,10.0,0.0,25,0,10,0
3771,1887.2,394.27,0.0,25.0,0.0,0,0,25,0
3781,1887.2,394.27,0.0,46.0,0.0,0,0,0,0
3791,4770.0,592.87,0.0,0.0,0.0,0,0,0,60
3801,4770.0,592.87,46.0,0.0,0.0,0,0,0,0
3811,4770.0,592.87,46.0,0.0,0.0,0,0,0,0
3821,4025.9,678.78,0.0,0.0,0.0,0,0,0,60
3831,4025.9,678.78,46.0,0.0,0.0,0,0,0,0
3841,4025.9,678.78,46.0,0.0,0.0,0,0,0,0
3851,4810.932203389831,662.85,0.0,0.0,0.0,0,0,0,60
3861,4810.932203389831,662.85,46.0,0.0,0.0,0,0,0,0
3871,4810.932203389831,662.85,46.0,0.0,0.0,0,0,0,0
3881,5194.744318181818,-325.26,0.0,25.0,0.0,0,0,25,0
3891,5194.744318181818,-325.26,0.0,0.0,21.0,0,0,0,0
3901,5194.744318181818,-325.26,0.0,0.0,11.0,0,52,0,0
3911,4845.555555555556,198.65,0.0,13.0,0.0,33,0,0,0
3921,4845.555555555556,198.65,0.0,25.0,0.0,0,0,25,0
3931,4845.555555555556,198.65,0.0,25.0,0.0,0,0,25,0
3941,4845.555555555556,198.65,0.0,25.0,0.0,0,0,25,0
