,Field_Name,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_total_kg_per_ha,P_total_kg_per_ha,K_total_kg_per_ha
223,M6I20122,855.43,15.0,2.5,6163.571428571428,191.675,113.3,115.8
224,M6I20123,876.99,16.0,2.5,6139.166666666667,192.2,127.6,115.8
225,M6I20124,1063.18,20.0,2.5,7598.818181818182,162.0,0.0,115.8
226,M6I20125,338.27,8.0,2.5,6052.8,154.4,255.2,0.0
227,M6I20126,1088.88,16.0,2.5,6679.238095238095,199.4,112.0,115.8
228,M6I20127,1131.04,22.0,2.5,7915.142857142857,177.0,0.0,115.8
229,M7I2087,824.26,24.0,2.5,7722.0,171.5,73.5,96.0
230,M7I2090,727.1,21.0,2.5,6595.576923076923,171.5,73.5,96.0
231,M6I20164,-490.81,14.0,2.5,5946.145833333333,104.86,86.64,77.07
232,M2I2041,186.07,17.0,2.5,3980.8547008547007,172.0,0.0,80.0
233,M2I2042,243.67,22.0,2.5,4981.4,146.0,0.0,133.8
234,M2I2043,146.48,15.0,2.5,4029.2473118279568,172.0,0.0,80.0
235,M2I2044,150.72,15.0,2.5,4163.870967741936,172.0,0.0,80.0
236,M7I2093,1092.64,24.0,2.5,3058.333333333333,210.84,126.88,105.0
237,M7I2094,1070.82,21.0,2.5,2771.078431372549,215.24,147.68,120.0
238,M7I2095,1114.04,22.0,2.5,3144.879518072289,216.34,152.88000000000002,120.0
239,M7I2096,960.06,26.0,2.5,2507.4,198.94,109.38,120.0
240,M7I2097,1072.26,22.0,2.5,2162.8571428571427,215.24,147.68,120.0
241,M2I2045,612.67,8.0,2.5,5387.460317460317,186.3,0.0,120.0
242,M6I20135,905.4,15.0,2.5,7557.058823529412,200.2,119.88,132.0
243,M7I2091,1001.87,20.0,2.5,6034.857142857143,201.16,81.12,80.4
244,M7I2092,1038.38,20.0,2.5,7116.666666666667,200.72,79.04,96.0
245,M7I2084,1057.15,20.0,2.5,2645.266666666667,216.34,152.88000000000002,120.0
246,M7I2085,1036.88,19.0,2.5,2991.969696969697,215.24,147.68,120.0
247,M7I2086,1011.75,23.0,2.5,2490.851063829787,206.44,106.08,105.0
248,M6I20141,-751.2,15.0,2.5,5822.153846153846,0.0,0.0,120.0
249,M6I20147,-33.22,12.0,2.5,11270.5,161.0,120.0,122.0
250,M6I20156,-631.74,15.0,2.5,5327.111111111111,25.3,119.6,0.0
251,M6I20177,472.93,9.0,2.5,10953.25,185.2,120.0,70.0
252,M6I20157,1204.59,12.0,2.5,5955.416666666667,235.04000000000002,145.6,130.2
253,M6I20158,371.18,15.0,2.5,9202.135922330095,132.6,83.2,96.0
254,M6I20159,1207.57,21.0,2.5,8292.0,212.6,135.2,90.0
255,M6I20161,1334.76,16.0,2.5,7427.25,236.0,93.6,102.0
256,M6I20163,1163.01,16.0,2.5,7566.5,220.3,143.6,152.0
257,M6I20160,1281.43,15.0,2.5,6394.0,236.0,93.6,102.0
258,M2I2051,780.85,13.0,2.5,7467.254901960784,186.3,0.0,120.0
259,M6I20179,456.07,9.0,2.5,9647.333333333334,185.2,120.0,130.0
260,M7I2088,865.97,26.0,2.5,7742.875,171.5,73.5,96.0
261,M7I2089,870.72,26.0,2.5,6551.066666666667,172.0,77.0,192.0
262,M6I2130,830.74,12.0,2.5,4734.444444444444,208.2,114.4,0.0
263,M6I2172,-883.5,12.0,2.72,4734.25,24.2,114.4,0.0
264,M7I21131,-398.67,20.0,3.950561797752809,6921.797752808989,157.45000000000002,80.6,111.0
265,M7I2196,-53.86,20.0,3.2,6345.0,137.535,77.22,109.98
266,M7I2198,-550.94,22.0,3.4,5768.148148148148,97.878,79.976,98.16
267,M7I2199,158.85,23.0,3.0,5385.4098360655735,133.9,88.4,100.2
268,M7I2177,1125.68,20.0,2.459999918937683,7526.341463414634,204.9,98.8,108.0
269,M7I2178,106.79,25.0,2.837500015894572,7687.6,111.8,93.6,108.0
270,M7I2179,-1147.02,20.0,3.4375,7526.354166666667,19.8,93.6,120.0
271,M6I2133,889.8,21.0,3.0125,1434.888888888889,244.5,286.0,0.0
272,M6I2173,1427.98,13.0,2.230769230769231,5278.0,244.5,286.0,0.0
273,M6I2161,441.3,15.0,3.330000000000003,6480.0,213.7,140.4,138.0
274,M6I2142,874.36,21.0,2.9875,9095.272595544286,210.4,124.8,150.0
275,M6I2145,493.64,21.0,3.1,8130.11063011063,190.8,249.6,0.0
276,M6I21119,-1190.97,15.0,3.0355140186915888,3024.769230769231,15.0,90.0,120.0
277,M6I21120,-1410.83,15.0,3.318181818181818,2710.3076923076924,15.0,90.0,120.0
278,M6I21121,-1190.97,15.0,3.0355140186915888,3024.8571428571427,15.0,90.0,120.0
279,M6I21124,-1262.25,15.0,3.1419354838709674,3266.830065359477,15.0,90.0,120.0
280,M6I2146,-780.0,15.0,2.67,6736.851851851852,34.4,120.4,68.8
281,M6I2147,-784.57,15.0,2.66,6363.333333333333,34.4,120.4,68.8
282,M6I2148,-878.14,15.0,2.66,3400.0,34.4,120.4,68.8
283,M6I2149,-815.78,15.0,2.76,7722.5,34.4,120.4,68.8
284,M6I2150,-806.41,15.0,2.62,4736.5,34.4,120.4,68.8
285,M6I2151,-892.81,15.0,2.8,6221.428571428572,34.4,120.4,68.8
286,M6I2152,-526.57,15.0,2.22,4187.666666666667,34.4,120.4,68.8
287,M6I21186,1050.18,15.0,2.2394736842105263,3097.375,204.6,130.0,130.2
288,M6I21187,874.96,15.0,2.4363636363636365,2185.0,204.6,130.0,130.2
289,M6I21188,924.29,24.0,2.6045454545454545,1858.9166666666667,204.6,130.0,130.2
290,M2I2118,-560.47,15.0,3.525,4175.988023952096,130.20000000000002,93.6,120.0
291,M2I2120,-549.69,15.0,2.3200000000000003,7972.954545454545,0.0,0.0,120.0
292,M2I2121,-1596.85,9.0,3.595,4123.609467455622,19.8,93.6,120.0
293,M2I2122,10.59,9.0,3.365,6385.785123966943,185.95000000000002,96.2,120.0
294,M2I2141,-608.16,15.0,2.407264,8170.533333333334,0.0,0.0,120.0
295,M6I2185,1227.33,15.0,2.5,7342.524916943521,247.0,120.0,160.0
296,M6I2186,1227.33,15.0,2.5,7342.532467532467,247.0,120.0,160.0
297,M6I21146,367.54,12.0,2.95,7889.0625,184.0,0.0,0.0
298,M6I21147,387.73,12.0,2.9,7350.1984126984125,184.0,0.0,0.0
299,M6I21148,247.19,14.0,3.2,8663.257670241956,184.0,0.0,0.0
300,M6I21149,424.83,13.0,2.9,7879.950083194675,184.0,0.0,0.0
301,M7I2156,-43.81,21.0,3.8,6652.177246243484,187.76,135.2,120.0
302,M7I2157,295.39,21.0,3.4,7674.285714285715,189.14,135.2,111.0
303,M7I2158,120.65,24.0,3.6,7704.150943396226,179.88,93.6,103.8
304,M6I21181,476.87,23.0,2.6153846153846154,5666.153846153846,14.0,152.0,0.0
305,M6I21182,754.96,18.0,2.3625,5678.461538461538,14.0,152.0,0.0
306,M7I2101,486.58,17.0,3.4,9272.75,210.98,88.4,114.0
