,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses
168,0.0,0.0,0.0,M4V2105,2.371428571428572,2272.2141823444285,1334.24,450,14
169,0.0,0.0,0.0,M4V2106,2.129169230769231,4124.553224553225,1544.63,450,12
170,0.0,0.0,0.0,M4V2107,2.3166666666666673,5028.8,1155.81,450,17
171,12640.0,9240.0,0.0,M4V2108,2.275,4942.797202797203,805.19,450,20
172,3614.0,9174.0,0.0,M4V2109,3,4295.598349381018,558.08,450,13
173,2100.0,10500.0,3500.0,M4V2110,1.4,4473.888888888889,771.61,450,10
174,2100.0,10500.0,3500.0,M4V2111,1.5,3805.873015873016,696.66,450,12
175,2100.0,10500.0,3500.0,M4V2112,2.45,2411.8478260869565,-753.31,450,10
176,3315.0,8415.0,0.0,M4V2113,2.040909090909091,5967.142857142857,1609.77,450,18
177,17200.0,9800.0,7200.0,M4V2114,2.5,2790.0,228.94,450,20
178,11800.0,9800.0,9600.0,M4V2115,3.6426352941176474,3827.5653923541245,-216.25,450,17
179,1800.0,9000.0,3000.0,M4V2116,3.436,4907.7192982456145,742.69,450,18
180,1596.0,7980.0,2660.0,M4V2117,2.5,5038.326506729081,1488.34,450,25
181,1688.16,7596.72,2813.6000000000004,M4V2118,2.602702702702703,4973.421926910299,1491.18,450,23
182,21175.0,9840.0,9900.0,M4V2119,2.8991624999999996,5075.684210526316,-172.76,450,17
183,20185.0,9840.0,7800.0,M4V2120,3.4415333333333336,5157.798165137615,-545.77,450,22
184,20950.0,9840.0,8520.0,M4V2121,2.0653,4042.8,403.06,450,19
185,21130.0,9840.0,9600.0,M4V2122,2.15,3245.4761904761904,372.01,450,21
186,14490.0,0.0,0.0,M4V2123,1.85,308.3333333333333,808.53,450,27
187,0.0,0.0,0.0,M4V2125,2.3,3593.5555555555557,1619.65,450,23
188,0.0,0.0,0.0,M4V2126,3.7975680000000005,8122.5,205.23,450,10
189,0.0,0.0,0.0,M4V2127,2.95625,3580.0060957025294,420.3,450,15
190,22030.0,9840.0,10500.0,M4V2128,3.2058823529411766,1650.967741935484,-403.45,450,23
191,0.0,0.0,0.0,M4V2129,3.0451679999999994,3754.7252747252746,-1042.23,450,15
192,1080.0,4860.0,1800.0,M4V2130,2.8476190476190473,5896.692913385827,963.51,450,19
193,2000.0,9000.0,0.0,M4V2132,3.5780769036366387,2957.16814159292,13.1,450,12
194,2000.0,9000.0,0.0,M4V2133,3.061363636363637,1538.9705882352941,-557.02,450,10
195,2000.0,9000.0,0.0,M4V2134,3.1815789436039172,1950.5813953488373,313.0,450,15
196,0.0,0.0,0.0,M4V2135,3.3579999999999997,1892.888888888889,-614.3,450,15
197,0.0,0.0,0.0,M4V2136,2.575,4361.940298507462,1.82,450,9
198,0.0,0.0,0.0,M4V2137,3.1,2836.5,-167.92,450,8
199,0.0,0.0,0.0,M4V2138,3.2329999999999997,4644.077669902913,40.92,450,13
200,0.0,0.0,0.0,M4V2139,2.823,2846.866485013624,-44.34,450,8
