,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Crop_Area_Ha,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha
216,15000.0,0.0,10000.0,M6I21193,86,3.3466666666666667,3194.8837209302324,202.99
217,5600.0,12800.0,5600.0,M6I2120,16,2.88,2245.0,-447.93
218,16400.0,5600.0,12800.0,M6I2121,16.6,2.45,2969.879518072289,286.75
219,16400.0,12800.0,5600.0,M6I2122,126,2.41,3495.3968253968255,420.36
220,16400.0,5600.0,12800.0,M6I2123,11,2.45,2970.0,327.75
221,5600.0,12800.0,5600.0,M6I2124,14,2.5,1685.0,232.41
222,16400.0,5600.0,12800.0,M6I2125,34.34,2.55,2700.058241118229,74.28
223,16400.0,5600.0,13280.0,M6I2126,89.6,2.55,2719.196428571429,127.18
224,16400.0,5600.0,12800.0,M6I2127,33.66,2.46,2719.251336898396,193.44
225,16400.0,5600.0,12800.0,M6I2128,14.5,2.43,2719.310344827586,215.73
226,16400.0,5600.0,12800.0,M6I2129,16.18,2.375,2640.2966625463537,128.99
227,3440.0,12040.0,6880.0,M6I2146,54,2.67,3662.777777777778,-780.0
228,3440.0,12040.0,6880.0,M6I2147,30,2.66,3060.0,-784.57
229,3440.0,12040.0,6880.0,M6I2148,20,2.66,1444.5,-878.14
230,3440.0,12040.0,6880.0,M6I2149,20,2.76,3923.0,-815.78
231,3440.0,12040.0,6880.0,M6I2150,20,2.62,2446.5,-806.41
232,3440.0,12040.0,6880.0,M6I2151,42,2.8,2946.4285714285716,-892.81
233,3440.0,12040.0,6880.0,M6I2152,30,2.22,2048.6666666666665,-526.57
234,6750.0,0.0,12000.0,M6I2167,86,2.5,3754.186046511628,572.75
235,1500.0,9000.0,3000.0,M6I2174,89,2.293846153846154,3165.0561797752807,863.47
236,1500.0,9000.0,3000.0,M6I2175,108,3.785454545454545,3847.222222222222,-254.38
237,1500.0,9000.0,3000.0,M6I2176,118,3.2555555555555555,1770.0,9.29
238,2240.0,7840.0,4480.0,M6I2183,42,2.5708333333333333,2580.0,1348.88
239,4000.0,12000.0,16000.0,M6I2185,30.1,2.5,3180.0664451827242,1227.33
240,4000.0,12000.0,16000.0,M6I2186,30.8,2.5,3179.87012987013,1227.33
241,20800.0,13600.0,16800.0,M6I2187,54,2.5,4710.0,237.95
242,3600.0,10800.0,5400.0,M6I2199,18,3.1,4913.333333333333,661.0
243,1625.0,12025.0,0.0,M6V2001,125,3.7599999999999993,3221.36,-1611.75
244,1625.0,12025.0,0.0,M6V2002,130,3.87,3202.923076923077,-1686.75
245,1625.0,12025.0,0.0,M6V2003,120,4.6,3490.75,-2218.8
246,2448.0,11968.0,0.0,M6V2005,113.9,2.68,4462.686567164179,647.47
247,2448.0,11968.0,0.0,M6V2006,114.2,2.68,3909.2819614711034,-370.11
248,9000.0,0.0,9000.0,M6V2007,35,2.2008333333333328,3521.714285714286,491.82
249,2448.0,11968.0,0.0,M6V2011,78,3.9115384615384614,4377.4358974358975,-358.9
250,2448.0,11968.0,0.0,M6V2012,78,3.124137931034483,3544.74358974359,973.03
251,2448.0,11968.0,0.0,M6V2013,78,3.832,3543.2051282051284,-551.39
252,2640.0,24240.0,0.0,M6V2029,37,2.11,4447.5675675675675,-208.48
253,8100.0,0.0,0.0,M6V2030,81,1.98,4180.9876543209875,233.08
254,22450.0,8750.0,13250.0,M6V2043,44,0.15,2368.6363636363635,1628.68
255,22450.0,8750.0,13250.0,M6V2044,75,1.6800000000000002,1887.2,394.27
