,Field_Name,CO2_kg_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha
167,M6I2030,-645.24,350.0,15.0,2.5,3166.0,0.0,33.0,0.0,99.0,0.0,0.0,106.2
168,M6V2025,649.19,450.0,15.0,2.63,2351.5555555555557,92.0,0.0,0.0,0.0,0.0,0.0,120.0
169,M6V2026,674.23,450.0,15.0,2.6480952380952383,3188.269230769231,92.0,0.0,0.0,0.0,0.0,0.0,120.0
170,M4V2062,-1225.34,450.0,9.0,3.896808510638298,2461.772151898734,92.0,0.0,0.0,0.0,0.0,0.0,120.0
171,M4V2063,-1563.34,450.0,8.0,3.5373529337058836,4103.9655172413795,0.0,0.0,0.0,0.0,0.0,0.0,120.0
172,M4V2064,56.49,450.0,15.0,2.9929411764705884,4607.333333333333,138.0,0.0,0.0,0.0,0.0,0.0,120.0
173,M6V2028,1184.99,450.0,9.0,2.11,3625.135135135135,174.8,0.0,27.5,0.0,130.0,0.0,120.0
174,M6V2029,-208.48,450.0,15.0,2.11,4447.5675675675675,0.0,26.4,0.0,242.4,0.0,0.0,0.0
175,M6V2030,233.08,450.0,15.0,1.98,4180.9876543209875,0.0,81.0,27.5,0.0,130.0,0.0,120.0
176,M6V2031,44.18,450.0,15.0,1.98,4938.780487804878,0.0,0.0,27.5,0.0,130.0,0.0,120.0
177,M6V2046,-558.69,450.0,10.0,4.8,4937.333333333333,128.8,0.0,0.0,0.0,0.0,0.0,162.0
178,M6V2047,-689.42,450.0,14.0,4.0,4631.818181818182,128.8,0.0,0.0,0.0,0.0,0.0,165.0
179,M6V2069,-679.33,450.0,12.0,3.3,4561.25,82.8,0.0,0.0,0.0,0.0,0.0,0.0
180,M6V2091,-624.06,450.0,8.0,3.41,1858.6363636363637,119.6,0.0,0.0,0.0,0.0,0.0,168.0
181,M6I20140,238.65,350.0,23.0,2.5,1828.0,92.0,0.0,28.6,0.0,135.2,90.0,0.0
182,M6V2079,495.01,450.0,15.0,2.91,3654.75,188.6,0.0,0.0,0.0,0.0,0.0,0.0
183,M2V2011,953.79,450.0,21.0,2.5,3614.3333333333335,62.1,0.0,0.0,0.0,0.0,0.0,0.0
184,M2V2012,797.78,450.0,20.0,2.7,3464.4186046511627,62.1,0.0,0.0,0.0,0.0,0.0,0.0
185,M7I2045,1069.84,350.0,20.0,2.5,5816.346153846154,115.0,15.6,0.0,115.44,0.0,0.0,108.0
186,M7I2098,1088.29,350.0,16.0,2.5,4171.764705882353,138.0,15.6,0.0,115.44,0.0,0.0,108.0
187,M7I2005,593.5,350.0,22.0,2.5,3343.246073298429,126.5,0.0,22.0,0.0,104.0,0.0,120.0
188,M7I2006,361.95,350.0,14.0,2.5,1999.1588785046729,127.88,0.0,22.0,0.0,104.0,0.0,120.0
189,M7I2007,389.23,350.0,15.0,2.5,2140.8333333333335,128.8,0.0,22.0,0.0,104.0,0.0,120.0
190,M7I2008,2634.56,350.0,46.0,2.5,2811.090909090909,124.2,0.0,25.3,0.0,119.6,0.0,120.0
191,M7I2009,536.26,350.0,18.0,2.5,2942.682926829268,128.8,0.0,24.2,0.0,114.4,0.0,120.0
192,M2I2024,788.37,350.0,15.0,2.5,3511.413043478261,55.2,0.0,26.4,0.0,124.8,0.0,0.0
193,M2I2047,755.18,350.0,15.0,2.5,2860.3030303030305,55.2,0.0,26.4,0.0,124.8,0.0,0.0
194,M2V2013,786.2,450.0,23.0,2.5,3961.309523809524,55.2,0.0,0.0,0.0,0.0,0.0,0.0
195,M6V2037,205.85,450.0,11.0,3.4050000000000002,6176.0,0.0,37.125,37.125,0.0,0.0,0.0,0.0
196,M6V2038,72.04,450.0,14.0,3.5666666666666673,5896.8,0.0,37.125,37.125,0.0,0.0,0.0,0.0
197,M6V2041,363.87,450.0,10.0,3.0591666666666666,6322.222222222223,0.0,37.125,37.125,0.0,0.0,0.0,0.0
198,M2V2030,-62.67,450.0,19.0,2.5,4753.053892215569,62.1,21.0,0.0,0.0,0.0,21.0,0.0
199,M2V2026,1275.25,450.0,18.0,1.9755555555555557,2234.84375,123.28,0.0,0.0,0.0,0.0,0.0,99.6
200,M6V2053,562.77,450.0,18.0,1.95,4166.615384615385,84.916,36.0,0.0,126.0,0.0,72.0,0.0
201,M6V2084,-83.87,450.0,14.0,2.53,4952.2,84.64,0.0,0.0,0.0,0.0,0.0,0.0
202,M6I20115,750.63,350.0,10.0,2.5,3834.494382022472,92.0,15.0,0.0,90.0,0.0,30.0,102.0
203,M6I20116,854.15,350.0,14.0,2.5,4153.220338983051,92.0,15.0,0.0,90.0,0.0,30.0,90.0
204,M6I20117,814.24,350.0,14.0,2.5,3612.962962962963,92.0,13.3,0.0,79.8,0.0,26.6,99.0
205,M6I20103,-469.06,350.0,13.0,2.5,2226.875,0.0,54.0,27.5,0.0,130.0,0.0,120.0
206,M6I20104,-714.94,350.0,11.0,2.5,2600.689655172414,0.0,54.0,0.0,0.0,0.0,0.0,120.0
207,M6I20105,-679.61,350.0,12.0,2.5,2695.5,0.0,54.0,0.0,0.0,0.0,0.0,120.0
208,M6I20106,-619.52,350.0,15.0,2.5,2625.1612903225805,0.0,54.0,0.0,0.0,0.0,0.0,120.0
209,M6I20129,-708.67,350.0,15.0,2.5,1909.1156462585034,0.0,0.0,22.0,0.0,104.0,0.0,0.0
210,M7I2052,910.12,350.0,17.0,2.5,1805.4666666666667,92.0,0.0,22.33,0.0,105.56,0.0,120.0
211,M7I2053,1076.07,350.0,18.0,2.5,3460.8333333333335,92.0,0.0,24.529999999999998,0.0,115.96000000000001,0.0,120.0
