,Field_Name,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,CO2_kg_per_Ha
272,M7I2138,14.0,3.2375,7712.058823529412,144.72,105.04,120.0,-161.42
273,M7I2139,18.0,2.803125,8516.31067961165,228.85,122.2,120.0,1079.74
274,M7I2140,20.0,2.34375,8629.801980198019,228.85,122.2,132.0,1470.48
275,M7I2141,17.0,2.771875,8148.333333333333,227.2,114.4,120.0,1054.28
276,M7I2142,15.0,2.8657142857142857,7712.115384615385,147.8,119.6,120.0,161.83
277,M7I2143,19.0,2.9611111111111112,8784.857142857143,228.74,121.68,132.0,995.21
278,M7I2144,18.0,2.1638888888888888,7712.056074766355,228.51999999999998,120.64,120.0,1525.87
279,M7I2145,16.0,3.203333333333333,5810.606060606061,228.51999999999998,120.64,120.0,652.68
280,M7I2146,19.0,3.55625,8856.9,228.51999999999998,120.64,132.0,553.37
281,M7I2190,21.0,3.17,7118.876404494382,228.51999999999998,120.64,132.0,826.22
282,M6I21170,11.0,3.6208333333333336,5672.526315789473,200.0,118.4,120.0,-109.83
283,M6I21171,14.0,3.6583333333333337,4480.0,200.0,118.4,120.0,-113.96
284,M6I21172,11.0,3.6125,9096.666666666666,200.0,118.4,120.0,4.76
285,M6I21173,11.0,3.201639344262295,5672.583333333333,200.0,118.4,120.0,201.58
286,M6I21174,14.0,3.778688524590164,4582.8,200.0,118.4,120.0,-199.84
287,M6I21175,13.0,3.756666666666667,4080.0,200.0,118.4,120.0,-219.87
288,M6I2125,13.0,2.55,4734.420500873616,204.5,56.0,128.0,74.28
289,M6I2126,15.0,2.55,5089.285714285715,204.5,56.0,132.8,127.18
290,M6I2127,15.0,2.46,5089.423648247178,204.5,56.0,128.0,193.44
291,M6I2128,15.0,2.43,5088.96551724138,204.5,56.0,128.0,215.73
292,M6I2129,9.0,2.375,4941.2855377008655,204.5,56.0,128.0,128.99
293,M7I21106,15.0,3.648484848484848,6571.985294117647,159.3,114.4,114.0,-121.4
294,M7I21107,15.0,3.574647887323944,7423.928571428572,159.3,112.2,114.0,-140.26
295,M7I21124,16.0,1.8857142857142857,6600.0,209.0,70.0,97.0,1363.32
296,M7I21125,15.0,1.7,1578.8709677419354,209.0,70.0,97.0,1199.44
297,M7I21126,15.0,2.20625,3538.695652173913,196.65,70.84,72.0,949.9
298,M7I21127,11.0,1.586111111111111,5800.0,196.65,93.61,72.0,1283.56
299,M7I21128,17.0,1.9933333333333332,6600.0,209.0,70.0,97.0,1303.87
300,M7I21129,12.0,2.225,2210.5333333333333,209.0,70.0,97.0,890.51
301,M7I2166,21.0,2.5,8348.22966507177,198.33,105.16,120.0,1038.11
302,M7I2167,19.0,2.5,8765.66037735849,109.22,103.6,120.0,205.61
303,M7I21130,12.0,1.5,2210.531914893617,209.0,70.0,97.0,1306.64
304,M6I21100,19.0,3.1,9223.606557377048,210.8,108.0,162.0,595.45
305,M6I2199,18.0,3.1,8970.555555555555,220.0,108.0,162.0,661.0
306,M7I21110,22.0,2.5,5861.645569620253,206.44,106.08,120.0,1104.08
307,M7I21111,23.0,2.5,4806.588235294118,206.44,106.08,120.0,1091.39
308,M7I21112,20.0,2.5,4806.538461538462,206.44,106.08,120.0,1029.89
309,M7I2121,13.0,3.725806160860284,8669.655172413793,125.30000000000001,78.0,84.0,-567.71
310,M7I2122,22.0,3.641414141414141,5040.0,128.5,78.0,66.0,-410.53
311,M7I2123,13.0,2.5,7920.0,131.7,78.0,84.0,383.8
312,M7I2154,27.0,2.8,4800.0,171.5,77.7,90.0,567.91
313,M7I2155,27.0,3.5,4680.0,171.5,77.7,120.0,56.43
314,M7I2159,23.0,1.6800000000000002,9207.592592592591,145.0,104.0,120.0,1327.21
