Crop_Protection_Application_Doses,Soil_Organic_Matter,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha,CO2_kg_per_Ha,Yield_kg_per_Ha
19,2.45,82.8,104,0,115,0,40,30,519.62,9265.263158
21,2.9,82.8,104,0,115,0,104,30,258.82,10292.58621
15,2.855,82.8,104,0,115,0,104,30,95.45,7959.1
18,2.21,82.8,104,0,115,0,104,30,682.7,9428.461538
37,2.5,0,56.7,81.89,0,119.08,0,134.13,1094.49,6400.923077
26,2.5,0,48.6,73.79,0,119.08,0,139.182,635.65,4478.75
34,2.5,36.8,62.1,89.82,0,131.04,0,132,1501.11,6136.025641
27,2.5,39.1,70.2,95.72,0,120.64,0,140.4,1610.33,7837.346939
23,2.5,39.1,70.2,95.06,0,117.52,0,138,1598.43,10280.22727
18,2.5,39.1,52.65,77.84,0,119.08,0,111.132,1063.82,9935.897436
15,3.3,0,0,59.4,0,280.8,0,0,-916.27,5925.283019
21,2.15,0,211.3,0,98.4,0,96,0,372.01,6823.809524
27,1.85,36.8,144.9,22.88,0,108.16,0,97.8,808.53,922.8333333
20,2.990923077,82.8,0,105,0,0,0,72,464.19,5976.526316
25,2.956956522,82.8,0,105,0,0,0,72,632.52,7264.222222
16,4.241269841,184,16,0.22,118.4,1.04,0,0,-302.4,10193.2
16,2.501639344,184,16,0.22,118.4,1.04,0,0,901.63,7395.409836
12,2.5,184,16,0.22,118.4,1.04,0,0,865.69,8818.692308
17,2.963235294,184,13.5,0.22,99.9,1.04,0,0,508.42,5644.37037
15,3.01,0,126,0,126,0,72,0,-615.47,9860.5
21,4.3575,184,0,22.44,0,106.08,0,120,-238.45,6557.6
23,4.405,184,0,22.44,0,106.08,0,120,-258.51,5751.046512
22,4.155,184,0,22.44,0,106.08,0,120,-54.1,6984.222222
